CODIGO	MUNICIPIO	ENDERECO	COORD_GEO_LAT_GRAU	COORD_GEO_LONG_GRAU	Altitude	RECURSO_HIDRICO	DATA_COLETA	ANO_COLETA	Alcalinidade	Condutividade	DBO	IQA_DBO	DQO	Escherichia coli	Fosfato orto	Fósforo total	IQA_Ptot	Nitrato	Nitrito	Nitrogênio orgânico	Nitrogênio amoniacal	Nitrogênio Kjeldahl	Nitrogênio total	IQA_NitroTot	Oxigênio dissolvido	%sat OD	IQA_OD	pH	IQA_pH	SDT	SST	Temperatura água	Temperatura ar	Transparência água	Turbidez	IQA_Turb	Vazao rio	Vazao	Coliformes termotol	IQA_coli	Sólidos totais	IQA_Sól_Tot	IQA_^OD	IQA_^temp_agua	IQA_^coli	IQA_^pH	IQA_^DBO	IQA_^NitroTot	IQA_^Ptot	IQA_^Turb	IQA_^Sól_Tot	IQA	latitude_corrigida	longitude_corrigida
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	06/10/1993	1993		60,00	3,000	69,06	29	640,00		0,065	83,32					0,770	0,770	93,89	8,600	92,082	94,49	6,80	87,72			19,00			16,00	67,11			800,00	22,41	98	85,57	2,167	1,580	1,594	1,711	1,116	1,575	1,556	1,400	1,428	51,049	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	09/12/1993	1993		68,00	2,000	78,12	37	160,00		0,053	86,15					1,000	1,000	92,14	5,600	67,292	71,28	6,90	89,76			25,00			11,00	75,37			200,00	33,50	92	85,81	2,065	1,580	1,693	1,715	1,072	1,572	1,561	1,413	1,428	50,318	-29,9338548	-50,6005399
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	11/11/1993	1993		41,00	1,000	88,37	31	136,00		0,013	96,45					0,900	0,900	92,90	6,300	78,546	84,94	6,70	85,42			27,00		25	19,00	63,07			170,00	34,97	117	84,28	2,128	1,580	1,704	1,705	1,000	1,573	1,579	1,393	1,426	48,219	-29,9507487	-50,9341363
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	09/12/1993	1993		45,00	1,000	88,37	37	400,00		0,068	82,57					1,060	1,060	91,68	7,300	91,014	93,74	6,60	82,86			27,00		20	22,00	59,70			500,00	25,88	116	84,37	2,164	1,580	1,629	1,699	1,000	1,571	1,555	1,387	1,426	45,720	-29,9507487	-50,9341363
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	11/11/1993	1993		53,00	1,000	88,37	28	240,00		0,088	78,04					0,950	0,950	92,52	5,300	64,853	67,58	6,70	85,42			26,00			22,00	59,70			300,00	29,99	130	82,94	2,047	1,580	1,665	1,705	1,000	1,573	1,546	1,387	1,424	44,105	-29,9338548	-50,6005399
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	06/10/1993	1993		78,00	1,000	88,37	33	13,60		0,300	43,01					3,780	3,780	73,49	3,400	36,435	26,79	6,40	76,96			19,00		25	26,00	55,75			17,00	59,69	125	83,50	1,749	1,580	1,847	1,684	1,000	1,537	1,457	1,379	1,425	37,806	-29,9505453	-51,1173349
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	06/10/1993	1993		104,00	3,000	69,06	38	40,00		0,464	33,21					4,340	4,340	70,31	1,700	18,580	12,20	6,40	76,96			20,00		25	21,00	60,75			50,00	47,21	138	81,94	1,530	1,580	1,783	1,684	1,116	1,530	1,419	1,389	1,423	34,761	-29,967144	-51,1840353
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	11/11/1993	1993		90,00	6,000	48,15	31	128,00		0,485	32,31	20.100							2,300	28,157	19,29	6,30	73,63			26,00		30	12,00	73,57			160,00	35,53	143	81,24	1,654	1,580	1,708	1,675	1,196		1,416	1,410	1,422	0,000	-29,967144	-51,1840353
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	11/11/1993	1993		66,00	4,000	61,05	32	17,60		0,299	43,13	20.000							3,700	46,130	37,24	6,60	82,86			27,00			15,00	68,61			22,00	56,56	127	83,28	1,850	1,580	1,832	1,699	1,149		1,457	1,403	1,424	0,000	-29,9505453	-51,1173349
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	09/12/1993	1993		60,00	2,000	78,12	30	6,40		0,213	54,91	17.300							4,400	52,916	47,35	6,40	76,96			25,00		20	26,00	55,75			8,00	69,75	110	84,85	1,927	1,580	1,890	1,684	1,072		1,493	1,379	1,427	0,000	-29,9505453	-51,1173349
